LEAVE_ID,EMPLOYEE_NO,REQUEST_DATE ,LEAVE_TYPE,START_DATE,END_ DATE,TOTAL_DAYS,REASON,STATUS
2024-02-26-22:59-1,1,1/5/2023,VACATION,2/11/2023,2/13/2023,3,a,PENDING
2024-02-26-22:59-2,2,1/5/2023,SICK,2/10/2023,2/12/2023,3,b,PENDING
2024-02-26-22:59-3,3,1/5/2023,BEREAVEMENT,2/9/2023,2/11/2023,3,a,PENDING
2024-02-26-22:59-4,4,1/5/2023,PATERNAL,2/8/2023,2/10/2023,3,b,PENDING
2024-02-26-22:59-5,5,1/5/2023,VACATION,2/7/2023,2/9/2023,3,a,PENDING
2024-02-26-22:59-6,6,1/5/2023,SICK,2/6/2023,2/8/2023,3,b,PENDING
2024-02-26-22:59-7,7,1/5/2023,BEREAVEMENT,2/5/2023,2/7/2023,3,a,PENDING
2024-02-26-22:59-8,8,1/5/2023,PATERNAL,2/4/2023,2/6/2023,3,b,PENDING
2024-02-26-22:59-9,9,1/5/2023,VACATION,2/3/2023,2/5/2023,3,a,PENDING
2024-02-26-22:59-10,10,1/5/2023,SICK,2/2/2023,2/4/2023,3,b,PENDING
2024-02-26-22:59-11,11,1/5/2023,BEREAVEMENT,2/1/2023,2/3/2023,3,a,PENDING
2024-02-26-22:59-12,12,1/5/2023,PATERNAL,1/31/2023,2/2/2023,3,b,PENDING
2024-02-26-22:59-13,13,1/5/2023,VACATION,1/30/2023,2/1/2023,3,a,PENDING
2024-02-26-22:59-14,14,1/5/2023,SICK,1/29/2023,1/31/2023,3,b,PENDING
2024-02-26-22:59-15,15,1/5/2023,BEREAVEMENT,1/28/2023,1/30/2023,3,a,PENDING
2024-02-26-22:59-16,16,1/5/2023,PATERNAL,1/27/2023,1/29/2023,3,b,PENDING
2024-02-26-22:59-17,17,1/5/2023,VACATION,1/26/2023,1/28/2023,3,a,PENDING
2024-02-26-22:59-18,18,1/5/2023,SICK,1/25/2023,1/27/2023,3,b,PENDING
2024-02-26-22:59-19,19,1/5/2023,BEREAVEMENT,1/24/2023,1/26/2023,3,a,PENDING
2024-02-26-22:59-20,20,1/5/2023,PATERNAL,1/23/2023,1/25/2023,3,b,PENDING
2024-02-26-22:59-21,21,1/5/2023,VACATION,1/22/2023,1/24/2023,3,a,PENDING
2024-02-26-22:59-22,22,1/5/2023,SICK,1/21/2023,1/23/2023,3,b,PENDING
2024-02-26-22:59-23,23,1/5/2023,BEREAVEMENT,1/20/2023,1/22/2023,3,a,PENDING
2024-02-26-22:59-24,24,1/5/2023,PATERNAL,1/19/2023,1/21/2023,3,b,PENDING
2024-02-26-22:59-25,25,1/5/2023,VACATION,1/18/2023,1/20/2023,3,a,PENDING
2024-02-26-22:59-26,26,1/5/2023,SICK,1/17/2023,1/19/2023,3,b,PENDING
2024-02-26-22:59-27,27,1/5/2023,BEREAVEMENT,1/16/2023,1/18/2023,3,a,PENDING
2024-02-26-22:59-28,28,1/5/2023,PATERNAL,1/15/2023,1/17/2023,3,b,PENDING
2024-02-26-22:59-29,29,1/5/2023,VACATION,1/14/2023,1/16/2023,3,a,PENDING
2024-02-26-22:59-30,30,1/5/2023,SICK,1/13/2023,1/15/2023,3,b,PENDING
2024-02-26-22:59-31,31,1/5/2023,BEREAVEMENT,1/12/2023,1/14/2023,3,a,PENDING
2024-02-26-22:59-32,32,1/5/2023,PATERNAL,1/11/2023,1/13/2023,3,b,PENDING
2024-02-26-22:59-33,33,1/5/2023,VACATION,1/10/2023,1/12/2023,3,a,PENDING
2024-02-26-22:59-34,34,1/5/2023,SICK,1/9/2023,1/11/2023,3,b,PENDING
